Exam1,Exam2,Attendance,Next_exam
93,58,71,91
71,80,50,60
97,54,22,80
75,78,36,29
27,72,93,68
72,78,50,80
58,40,15,90
21,18,13,54
99,15,11,42
90,20,47,69
79,27,86,68
65,31,50,70
55,31,67,46
48,78,60,83
25,37,50,56
44,44,61,41
12,52,18,70
26,86,18,70
73,74,50,30
86,42,86,46
55,57,68,77
75,53,24,22
24,53,42,48
63,24,37,59
13,47,89,32
85,40,79,39
49,87,70,91
37,72,94,65
64,27,55,53
63,84,43,75
38,80,33,49
41,23,79,92
78,51,36,73
51,15,49,67
36,62,35,73
56,19,41,35
20,58,56,13
25,28,20,97
41,26,45,10
72,53,21,15
100,24,67,70
17,88,21,78
43,85,93,75
54,58,83,73
27,19,92,32
34,83,53,39
86,80,39,47
12,38,59,81
48,82,49,69
70,20,15,37
44,44,51,52
87,56,33,48
68,47,50,48
62,82,84,76
98,78,48,42
68,24,41,35
30,68,52,82
99,45,22,96
92,23,79,67
31,15,88,22
10,47,84,79
17,11,86,75
21,88,21,71
21,95,41,46
68,11,38,56
27,21,12,57
34,62,41,59
97,24,61,53
42,15,19,23
76,34,44,21
64,40,80,48
32,85,19,64
47,63,19,83
43,30,12,80
43,24,91,53
14,67,11,53
37,31,47,78
30,40,55,75
77,30,73,33
99,23,70,77
91,65,29,78
62,58,22,39
17,79,74,51
74,47,51,42
70,80,19,77
98,42,75,73
13,71,95,61
41,50,32,63
62,22,32,40
52,36,29,49
63,93,28,76
48,50,50,42
100,15,49,60
18,13,23,83
16,11,75,90
43,47,87,60
14,86,47,61
78,50,26,57
75,67,36,19
100,60,28,63
48,50,79,49
30,61,14,35
73,18,50,80
70,18,89,58
28,50,80,25
72,86,36,75
10,68,32,62
34,24,48,26
46,42,65,92
37,37,78,35
72,89,30,25
68,79,16,75
14,70,95,60
58,94,41,53
35,55,42,74
13,43,18,42
100,33,67,75
50,79,65,37
37,36,80,96
45,49,42,66
78,35,79,45
85,41,66,60
60,56,78,31
11,20,68,88
52,45,11,45
14,21,60,50
84,67,53,80
24,21,31,50
30,93,43,42
100,83,72,97
75,92,13,81
53,53,92,45
20,39,63,62
14,59,83,55
57,49,12,45
21,15,17,56
87,51,55,75
30,33,84,32
20,50,27,45
95,84,85,81
13,48,26,63
55,41,27,50
48,52,43,37
69,22,45,32
37,79,60,84
70,88,82,74
32,84,61,93
91,86,32,65
61,21,88,89
40,41,21,50
12,38,39,38
26,12,72,28
83,41,10,74
40,61,32,31
53,19,77,44
37,44,50,30
58,80,74,36
100,19,93,51
37,19,66,15
92,12,91,40
76,91,38,86
40,11,40,62
57,47,50,44
50,55,73,88
40,73,71,78
51,70,38,87
35,29,62,48
29,22,53,34
40,74,81,54
76,51,88,44
58,19,93,10
14,75,45,46
32,95,92,28
27,32,38,45
100,32,16,79
79,29,19,43
99,28,75,36
69,50,92,47
88,49,57,79
60,23,30,74
84,75,75,83
45,87,36,79
33,47,49,81
23,26,48,16
69,36,48,36
26,28,80,33
39,79,57,70
25,14,31,36
31,50,69,56
46,89,86,14
10,80,20,39
35,36,25,75
11,32,87,14
96,48,75,98
57,65,83,62
11,78,58,60
83,30,32,86
73,16,29,67
82,95,42,42
43,41,64,50
29,42,37,68
49,18,82,65
39,67,16,24
33,65,73,50
41,80,60,69
23,42,91,46
40,79,54,59
74,66,59,70
38,78,75,90
31,68,31,27
42,11,79,27
12,60,15,24
69,53,77,23
78,31,21,45
74,43,42,44
76,72,90,18
11,13,22,95
31,92,44,70
28,63,20,82
20,83,27,42
31,12,88,21
51,17,94,31
19,55,20,23
34,84,66,74
70,27,40,97
75,85,58,70
93,26,65,45
50,27,60,84
60,43,31,91
81,45,51,75
80,60,66,93
37,82,26,31
96,61,89,27
45,32,72,43
63,88,37,60
60,21,25,73
19,39,65,25
12,72,86,65
64,10,78,96
99,32,62,90
41,77,25,36
44,50,94,37
65,74,47,13
85,93,45,92
22,66,41,62
22,91,58,60
99,38,81,75
19,40,10,37
18,50,34,74
40,73,77,61
39,71,66,73
13,38,84,63
90,62,12,60
65,53,13,55
77,81,90,48
37,88,87,26
16,93,41,38
26,45,43,67
18,92,36,50
69,38,32,87
92,16,46,58
80,19,28,78
99,75,79,95
40,92,35,77
79,57,44,93
86,30,49,50
70,75,84,79
95,36,42,22
88,49,67,80
26,48,31,21
22,48,79,22
38,80,55,38
55,57,72,40
68,31,63,55
20,69,25,77
60,86,36,66
91,20,83,27
85,25,59,83
31,87,36,54
32,75,46,34
99,83,23,67
56,58,13,54
87,32,25,27
57,29,82,72
55,42,11,45
70,64,79,69
32,37,47,88
69,82,93,61
56,16,27,92
68,73,19,86
58,60,74,98
32,91,57,33
50,54,83,35
43,59,49,45
21,75,65,68
33,31,74,92
62,79,55,66
40,15,77,33
82,77,51,96
53,21,10,57
73,42,25,48
19,90,66,76
24,22,67,83
88,44,54,98
45,20,49,88
74,27,79,40
17,88,61,87
75,94,53,33
16,20,83,18
17,66,73,14
33,40,24,70
35,58,92,87
50,65,58,52
72,60,58,25
51,31,36,70
22,51,81,31
78,66,10,44
11,26,45,43
29,89,91,93
62,72,86,43
77,37,75,75
22,25,35,52
67,65,69,26
40,86,86,94
64,78,76,94
83,62,62,99
56,25,49,64
87,94,31,81
81,47,67,67
93,45,89,65
28,41,95,82
30,58,77,70
40,81,35,78
63,10,56,53
87,34,77,27
61,77,10,24
28,66,59,37
91,84,84,59
52,12,64,32
43,13,61,77
71,90,53,97
78,87,89,79
93,41,84,68
83,43,18,92
35,36,73,55
82,32,41,96
28,46,91,86
50,28,93,49
60,79,47,54
97,35,90,70
65,44,12,26
82,49,62,74
47,84,90,98
20,42,29,31
65,67,91,72
98,31,60,44
26,79,44,37
39,55,32,85
38,72,19,78
88,63,87,40
38,25,11,99
70,36,54,65
47,83,43,22
21,59,62,83
89,36,79,89
89,46,48,92
94,23,29,94
59,13,69,45
76,25,43,61
10,82,72,35
15,11,31,53
77,79,69,60
65,47,75,55
73,93,15,26
48,27,44,46
22,19,75,61
19,74,22,21
32,57,85,84
54,83,64,67
27,49,18,32
72,65,55,20
92,74,18,60
96,55,94,81
100,77,66,73
50,51,12,57
63,10,31,20
87,25,74,89
50,66,30,42
91,67,99,40
81,54,61,62
44,49,91,53
49,79,45,76
65,61,87,64
21,53,48,29
69,83,36,72
93,73,77,61
57,24,36,79
67,92,40,77
11,58,52,51
32,58,44,85
80,36,56,82
12,81,19,36
34,10,76,38
94,45,94,31
10,91,57,27
17,86,69,41
99,75,75,23
78,35,81,74
84,69,16,30
87,86,31,39
89,76,48,44
10,62,93,79
56,49,81,37
30,31,44,92
48,67,55,62
55,89,88,26
50,95,39,74
21,77,60,50
41,35,81,67
56,56,61,58
16,77,32,20
79,10,71,31
62,59,43,78
27,84,88,54
15,64,52,31
55,61,38,41
76,53,43,18
68,89,88,78
52,84,41,20
15,18,94,77
84,73,13,80
37,41,89,74
35,91,61,42
31,93,50,91
48,47,65,97
95,90,41,88
71,12,44,22
44,62,34,61
24,90,19,69
67,29,90,52
56,91,31,78
74,60,84,44
56,44,66,60
35,32,84,69
80,19,28,91
77,87,87,50
31,11,43,72
33,54,68,46
26,43,77,50
22,62,30,20
36,79,27,61
18,48,27,96
69,29,66,62
25,69,56,49
34,43,49,44
39,72,61,74
74,31,40,56
96,69,24,48
32,75,36,98
87,15,49,92
57,44,18,78
21,75,23,68
69,22,39,55
45,85,60,87
62,64,51,53
53,18,73,53
15,55,22,31
98,18,33,76
26,94,15,74
73,66,17,40
49,12,86,86
26,31,12,81
36,74,37,97
13,30,14,99
99,99,73,98
15,61,77,70
72,91,88,70
95,45,66,64
58,87,53,81
69,48,94,71
37,36,45,57
86,77,25,96
97,36,88,44
92,40,32,94
83,52,22,75
17,44,38,62
90,56,61,84
64,19,39,90
47,76,73,72
73,94,67,75
39,57,58,51
55,69,31,72
64,75,39,74
86,81,40,91
45,16,46,54
97,31,69,79
67,48,80,59
41,93,84,56
68,81,59,48
15,44,37,84
56,55,67,79
91,88,43,98
57,39,52,94
44,60,73,55
39,81,85,68
69,61,24,36
51,32,37,86
43,71,20,88
100,43,15,42
93,88,11,85
87,52,10,70
73,38,71,57
63,43,50,97
14,88,59,85
82,41,84,66
48,94,46,86
48,13,35,55
26,89,61,39
71,61,30,67
43,50,92,47
35,65,29,82
81,41,13,60
76,44,11,49
92,34,59,38
94,19,28,95
93,90,95,57
65,31,79,92
25,84,17,74
59,66,82,43
76,84,58,24
66,28,42,64
52,87,26,38
95,43,20,67
91,68,69,26
39,77,93,64
89,30,48,70
21,27,11,24
57,27,14,39
79,66,78,70
85,56,17,75
67,49,77,80
25,61,26,59
46,40,15,75
67,24,45,50
24,36,25,13
86,49,65,89
49,18,21,61
74,23,34,70
54,39,13,75
51,60,73,69
43,51,91,95
79,73,26,25
74,22,45,93
93,33,34,16
89,15,94,56
95,17,67,86
90,86,59,93
63,12,52,40
95,37,90,82
31,14,44,43
81,73,43,31
83,77,92,72
37,88,91,31
80,66,41,35
50,53,41,47
52,94,17,39
92,45,85,74
80,25,85,73
19,88,32,94
81,32,54,71
99,22,64,89
50,38,87,52
100,61,81,64
34,39,91,70
22,73,76,76
98,67,17,99
44,58,55,54
99,31,80,75
77,39,62,43
90,40,78,88
44,46,35,99
33,69,78,96
90,80,64,76
52,84,94,39
87,59,18,50
69,37,44,83
38,67,88,99
19,43,19,34
59,52,42,55
33,73,32,76
62,85,22,56
21,24,29,27
59,37,17,66
65,20,36,38
64,15,64,49
34,11,15,47
65,10,16,96
12,71,91,33
95,50,21,38
75,59,75,83
54,84,70,95
64,46,74,51
45,35,57,89
80,61,22,54
84,30,50,84
56,92,15,56
20,29,26,45
21,13,78,60
64,11,14,36
90,59,66,39
20,28,95,29
88,95,26,94
11,79,60,85
51,17,67,98
81,82,13,26
88,58,77,79
35,42,44,61
77,26,21,79
38,20,42,98
26,69,51,23
67,93,20,82
26,48,48,38
30,11,14,63
42,14,59,72
34,78,81,25
18,17,43,22
19,77,50,22
89,26,26,96
66,15,43,61
84,45,58,51
47,25,24,44
59,65,48,56
65,21,22,35
71,34,64,59
94,13,41,96
60,73,74,65
21,91,85,96
38,26,88,92
83,45,65,44
94,34,90,58
91,94,80,92
71,67,76,34
34,59,93,55
45,52,61,46
78,90,85,68
94,44,49,59
29,43,84,28
50,92,67,10
71,91,53,85
51,41,78,81
22,41,92,40
61,17,50,32
33,85,73,92
78,85,58,81
42,32,88,68
91,54,72,95
28,64,65,72
33,87,84,97
78,81,56,83
90,91,62,61
31,76,90,48
84,17,70,89
35,55,68,40
79,80,79,82
51,62,89,83
40,78,47,93
55,35,66,27
97,78,81,83
31,64,55,33
100,94,74,56
34,18,51,34
24,44,87,68
46,88,60,62
80,19,94,53
93,42,45,26
21,32,83,34
74,22,69,35
56,29,54,41
74,17,77,64
93,36,63,75
18,64,59,79
77,15,86,54
33,16,52,32
58,91,75,62
67,21,91,96
20,75,46,38
17,70,80,47
99,74,57,68
17,57,51,80
91,22,64,77
56,50,96,32
46,15,100,88
39,26,85,44
96,78,88,90
51,14,65,50
30,66,90,66
14,95,80,45
91,26,76,54
26,60,93,79
91,67,61,41
87,13,85,30
39,77,49,56
20,44,84,25
13,21,67,87
29,42,53,24
50,51,78,50
41,20,92,40
63,48,50,54
12,14,73,23
23,59,58,90
50,81,88,74
15,43,72,12
76,50,65,77
40,26,84,53
96,43,56,37
27,58,62,35
87,24,90,78
52,48,70,64
63,22,68,88
90,64,79,43
67,41,89,65
92,74,47,85
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,49,80
98,79,84,93
49,89,67,67
77,47,53,67
64,66,78,66
59,81,92,79
87,55,50,82
91,74,73,80
46,51,58,68
80,87,88,83
53,60,72,66
69,94,65,88
71,45,84,61
94,83,56,95
58,69,62,64
85,54,90,79
76,77,70,70
66,63,68,62
95,59,79,83
54,86,89,76
86,52,47,79
60,75,54,71
73,91,77,86
52,46,63,53
67,80,59,77
93,57,86,92
79,51,52,95
57,64,75,64
84,96,91,97
100,100,46,99
75,85,80,82
82,88,57,88
60,65,51,68
90,90,64,95
78,80,96,85
72,76,100,72
45,93,49,89
78,61,84,73
63,85,67,75
55,49,53,52
88,84,78,90
72,67,92,76
96,53,73,94
50,78,58,72
82,92,88,94
70,50,72,71
47,73,65,69
89,58,84,75
74,88,56,88
62,72,62,73
56,65,90,74
90,84,70,95
42,56,68,65
68,62,79,66
75,90,89,84
55,70,47,65
83,68,66,80
98,79,81,93
49,89,55,67
77,47,74,67
64,66,51,66
59,81,87,79
87,55,60,82
91,74,94,80
46,51,45,68
80,87,83,83
53,60,69,66
69,94,54,88
71,45,77,61
94,83,63,95
58,69,59,64
85,54,86,79
76,77,52,70
66,63,75,62
95,59,91,83
54,86,46,76
86,52,80,79
60,75,57,71
73,91,51,86
52,46,64,53
67,80,96,77
93,57,100,92
79,51,85,95
57,64,88,64
84,96,65,97
100,100,90,100
55,49,80,52
88,84,76,90
72,67,93,76
96,53,61,94
50,78,85,72
82,92,49,94
70,50,84,71
47,73,67,69
89,58,53,75
74,88,78,88
62,72,92,73
56,65,50,74
90,84,73,95
42,56,58,65
68,62,88,66
75,90,72,84
55,70,65,65
83,68,84,80
98,79,56,93
49,89,62,67
77,47,90,67
85,54,70,79
76,77,68,70
66,63,79,62
95,59,89,83
54,86,47,76
86,52,66,79
60,75,81,71
73,91,55,86
52,46,74,53
67,80,51,77
93,57,87,92
79,51,60,95
57,64,94,64
84,96,45,97
100,100,83,100
55,49,69,52
88,84,54,90
72,67,77,76
96,53,63,94
50,78,59,72
82,92,86,94
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,88,93
49,89,65,67
77,47,90,67
64,66,80,66
59,81,76,79
87,55,93,82
91,74,61,80
46,51,85,68
80,87,49,83
53,60,84,66
69,94,67,88
71,45,53,61
94,83,78,95
58,69,92,64
85,54,50,79
76,77,73,70
66,63,58,62
95,59,88,83
54,86,72,76
86,52,65,79
60,75,84,71
73,91,56,86
52,46,62,53
67,80,90,77
93,57,70,92
79,51,68,95
57,64,79,64
84,96,89,97
100,100,47,99
75,85,66,82
82,88,81,88
60,65,55,68
90,90,74,95
78,80,51,85
72,76,87,72
45,93,60,89
78,61,94,73
63,85,45,75
55,49,83,52
88,84,69,90
72,67,54,76
96,53,77,94
50,78,63,72
82,92,59,94
70,50,86,71
47,73,52,69
89,58,75,75
74,88,91,88
62,72,46,73
56,65,80,74
90,84,57,95
42,56,51,65
68,62,64,66
75,90,96,84
55,70,100,65
83,68,85,80
98,79,31,93
49,89,69,67
77,47,75,67
64,66,15,66
59,81,44,79
87,55,75,82
91,74,22,80
46,51,85,68
80,87,64,83
53,60,18,66
69,94,55,88
71,45,18,61
94,83,94,95
58,69,66,64
85,54,12,79
76,77,31,70
66,63,74,62
95,59,30,83
54,86,99,76
86,52,61,79
60,75,91,71
73,91,45,86
52,46,87,53
67,80,48,77
93,57,36,92
79,51,77,95
57,64,36,64
84,96,40,97
100,100,52,99
75,85,44,82
82,88,56,88
60,65,19,68
90,90,76,95
78,80,94,85
72,76,57,72
45,93,69,89
78,61,75,73
63,85,81,75
55,49,16,52
88,84,31,90
72,67,48,76
96,53,93,94
50,78,81,72
82,92,44,94
70,50,55,71
47,73,88,69
89,58,39,75
74,88,60,88
62,72,81,73
56,65,61,74
90,84,32,95
42,56,71,65
68,62,43,66
75,90,88,84
55,70,52,65
83,68,38,80
98,79,43,93
49,89,17,67
77,47,36,67
64,66,64,66
59,81,15,79
87,55,16,82
91,74,91,80
46,51,21,68
80,87,75,83
53,60,70,66
69,94,74,88
71,45,57,61
94,83,22,95
58,69,50,64
85,54,15,79
76,77,26,70
66,63,78,62
95,59,14,83
54,86,66,76
86,52,95,79
60,75,26,71
73,91,60,86
52,46,67,53
67,80,13,77
93,57,77,92
79,51,44,95
57,64,21,64
84,96,42,97
100,100,51,99
75,85,20,82
74,31,48,56
96,69,14,48
32,75,59,98
87,15,81,92
57,44,43,78
21,75,50,68
69,22,26,55
45,85,43,87
62,64,58,53
53,18,24,53
15,55,48,31
98,18,22,76
26,94,64,74
73,66,41,40
49,12,74,86
26,31,85,81
36,74,88,97
13,30,65,99
99,99,90,98
15,61,80,70
72,91,76,70
95,45,93,64
58,87,61,81
69,48,85,71
37,36,49,57
86,77,84,96
97,36,67,44
92,40,53,94
83,52,78,75
17,44,92,62
90,56,50,84
64,19,73,90
47,76,58,72
73,94,88,75
39,57,72,51
55,69,65,72
64,75,84,74
86,81,56,91
45,16,62,54
97,31,90,79
67,48,70,59
41,93,68,56
68,81,79,48
15,44,89,84
56,55,47,79
91,88,66,98
57,39,81,94
44,60,55,55
39,81,74,68
69,61,51,36
51,32,87,86
43,71,60,88
100,43,94,42
93,88,45,85
87,52,83,70
73,38,69,57
63,43,54,97
74,17,77,64
93,36,63,75
18,64,59,79
77,15,86,54
33,16,52,32
58,91,75,62
67,21,91,96
20,75,46,38
17,70,80,47
99,74,57,68
17,57,51,80
91,22,64,77
56,50,96,32
46,15,100,88
39,26,,44
96,78,,90
51,14,,50
30,66,,66
14,95,,45
91,26,,54
26,60,,79
91,67,,41
87,13,,30
39,77,,56
20,44,,25
13,21,,87
29,42,,24
50,51,,50
41,20,,40
63,48,,54
12,14,,23
23,59,,90
50,81,,74
15,43,,12
76,50,,77
40,26,,53
96,43,,37
27,58,,35
87,24,,78
52,48,,64
63,22,,88
90,64,,43
67,41,,65
92,74,,85
75,85,,82
82,88,,88
60,65,,68
90,90,,95
78,80,,85
